season,team,position,jersey_number,full_name,first_name,last_name,football_name,gsis_id,nfl_id,esb_id,pfr_id,birth_date,height,weight
2024,BUF,QB,17,Josh Allen,Joshua,Allen,Josh,00-0034857,46076,ALL529264,AlleJo02,1996-05-21,77,237
2024,BUF,OL,70,Alec Anderson,Alec,Anderson,Alec,00-0037428,55013,AND037350,,1999-10-03,77,305
2024,BUF,LB,44,Joe Andreessen,Joe,Andreessen,Joe,00-0039763,57902,AND641325,,2000-02-07,73,232
2024,BUF,K,2,Tyler Bass,Tyler,Bass,Tyler,00-0036162,52596,BAS555802,BassTy00,1997-02-14,70,185
2024,BUF,DB,47,Christian Benford,Christian,Benford,Christian,00-0037288,54650,BEN036336,BenfCh00,2000-09-21,73,205
2024,BUF,LB,43,Terrel Bernard,Terrel,Bernard,Terrel,00-0037254,54554,BER236424,BernTe00,1999-05-07,73,222
2024,BUF,DB,24,Cole Bishop,Cole,Bishop,Cole,00-0039872,57181,BIS244955,BishCo00,2002-10-24,74,207
2024,BUF,OL,79,Spencer Brown,Spencer,Brown,Spencer,00-0036976,53522,BRO690310,,1998-02-28,80,321
2024,BUF,OL,77,Will Clapp,William,Clapp,Will,00-0034436,46314,CLA119505,,1995-12-10,77,311
2024,BUF,WR,0,Keon Coleman,Keon,Coleman,Keon,00-0039901,57154,COL295571,ColeKe02,2003-05-17,76,215
2024,BUF,RB,4,James Cook,James,Cook,James,00-0037248,54528,COO151970,CookJa01,1999-09-25,71,190
2024,BUF,WR,18,Amari Cooper,Amari,Cooper,Amari,00-0031544,42347,COO487703,CoopAm00,1994-06-17,73,211
2024,BUF,RB,22,Ray Davis,Re'Mahn,Davis,Ray,00-0039875,57249,DAV632804,DaviRa04,1999-11-20,68,216
2024,BUF,OL,73,Dion Dawkins,Dion,Dawkins,Dion,00-0033904,44875,DAW056236,,1994-04-26,77,320
2024,BUF,DB,31,Rasul Douglas,Rasul,Douglas,Rasul,00-0033551,44911,DOU604176,DougRa00,1994-08-29,74,209
2024,BUF,OL,76,David Edwards,David,Edwards,David,00-0035668,47952,EDW337483,,1997-03-20,78,308
2024,BUF,DB,5,Kaiir Elam,Kaiir,Elam,Kaiir,00-0037242,54488,ELA550002,ElamKa00,2001-05-05,73,196
2024,BUF,DL,57,A.J. Epenesa,Andrew,Epenesa,A.J.,00-0036192,52462,EPE415291,EpenAJ00,1998-09-15,78,280
2024,BUF,LS,69,Reid Ferguson,Chandler,Ferguson,Reid,00-0032497,43617,FER300870,,1994-03-24,74,235
2024,BUF,RB,41,Reggie Gilliam,Reggie,Gilliam,Reggie,00-0036187,53079,GIL562234,,1997-08-20,72,255
2024,BUF,OL,68,Tylan Grable,Tylan,Grable,Tylan,00-0039882,57324,GRA027444,,1999-10-04,77,290
2024,BUF,DB,3,Damar Hamlin,Damar,Hamlin,Damar,00-0036888,53641,HAM401130,HamlDa00,1998-03-24,72,195
2024,BUF,WR,13,Mack Hollins,Mack,Hollins,Mack,00-0033555,44931,HOL280459,HollMa00,1993-09-16,76,221
2024,BUF,DB,46,Ja'Marcus Ingram,Ja'Marcus,Ingram,Ja'Marcus,00-0037661,55240,ING545433,,1997-09-02,74,185
2024,BUF,DB,27,Kareem Jackson,Kareem,Jackson,Kareem,00-0027872,35459,JAC283467,JackKa99,1988-04-10,70,185
2024,BUF,DL,98,Austin Johnson,Austin,Johnson,Austin,00-0032763,43332,JOH064658,JohnAu01,1994-05-08,76,314
2024,BUF,DB,7,Taron Johnson,Taron,Johnson,Taron,00-0034376,46190,JOH676640,JohnTa01,1996-07-27,71,192
2024,BUF,RB,26,Ty Johnson,Ty,Johnson,Ty,00-0035537,47969,JOH000019,JohnTy02,1997-09-17,70,210
2024,BUF,DL,92,DaQuan Jones,DaQuan,Jones,DaQuan,00-0031054,41341,JON200565,JoneDa04,1991-12-27,76,322
2024,BUF,TE,86,Dalton Kincaid,Dalton,Kincaid,Dalton,00-0038933,55889,KIN069130,KincDa00,1999-10-18,76,240
2024,BUF,TE,88,Dawson Knox,Dawson,Knox,Dawson,00-0035689,47879,KNO490795,KnoxDa00,1996-11-14,76,254
2024,BUF,DB,39,Cam Lewis,Cameron,Lewis,Cameron,00-0035357,48487,LEW089606,,1997-04-13,69,185
2024,BUF,P,8,Sam Martin,Sam,Martin,Sam,00-0030092,40113,MAR720548,MartSa01,1990-02-27,73,211
2024,BUF,OL,66,Connor McGovern,Connor,McGovern,Connor,00-0035679,47873,MCG417420,,1997-11-03,77,308
2024,BUF,LB,58,Matt Milano,Matthew,Milano,Matt,00-0033571,44976,MIL033577,MilaMa00,1994-07-28,72,223
2024,BUF,DL,40,Von Miller,Vonnie,Miller,Von,00-0027940,37075,MIL597654,MillVo00,1989-03-26,75,250
2024,BUF,TE,85,Quintin Morris,Quintin,Morris,Quintin,00-0036590,53855,MOR489431,,1999-01-21,74,251
2024,BUF,DL,91,Ed Oliver,Ed,Oliver,Ed,00-0035230,47792,OLI290385,OlivEd00,1997-12-12,73,287
2024,BUF,DL,97,Jordan Phillips,Jordan,Phillips,Jordan,00-0031557,42395,PHI386190,PhilJo01,1992-09-21,78,341
2024,BUF,DL,50,Greg Rousseau,Gregory,Rousseau,Gregory,00-0036914,53459,ROU617685,RousGr00,2000-04-05,78,253
2024,BUF,WR,1,Curtis Samuel,Curtis,Samuel,Curtis,00-0033282,44852,SAM633285,SamuCu00,1996-08-11,71,195
2024,BUF,WR,10,Khalil Shakir,Khalil,Shakir,Khalil,00-0037261,54613,SHA107427,ShakKh00,2000-02-03,72,190
2024,BUF,DL,94,Dawuane Smoot,Dawuane,Smoot,Dawuane,00-0033907,44880,SMO474349,SmooDa00,1995-03-02,75,264
2024,BUF,DL,56,Javon Solomon,Javon,Solomon,Javon,00-0039879,57289,SOL228092,SoloJa00,2001-01-17,73,249
2024,BUF,OL,64,O'Cyrus Torrence,O'Cyrus,Torrence,O'Cyrus,00-0038548,55924,TOR694111,,2000-01-20,77,347
2024,BUF,QB,11,Mitchell Trubisky,Mitchell,Trubisky,Mitchell,00-0033869,44814,TRU215336,TrubMi00,1994-08-20,75,215
2024,BUF,LB,48,Edefuan Ulofoshio,Edefuan,Ulofoshio,Edefuan,00-0039878,57281,ULO415291,UlofEd00,2000-01-23,72,236
2024,BUF,LB,42,Dorian Williams,Dorian,Williams,Dorian,00-0038557,55956,WIL243940,WillDo04,2001-06-28,74,230
2024,DET,DL,66,Myles Adams,Myles,Adams,Myles,00-0035946,52848,ADA519905,,1998-03-09,74,285
2024,DET,LB,34,Alex Anzalone,Alex,Anzalone,Alex,00-0033914,44888,ANZ059326,AnzaAl00,1994-09-22,75,240
